#id	voltage(V)	frequency(Mhz)	DieLocation(x,y)

1		0.9		1900		1,1
2		0.98		1910		1,1
3		0.93		1890		1,1
4		0.87		1750		1,1
5		0.83		1670		1,1
6		1.035		2070		1,1
7		1.135		2400		1,1
8		1.115		2390		1,1
9		1.135		2340		1,1
10		1.12		2350		1,1
11		0.755		1530		1,2
12		0.98		1860		1,2
13		0.845		1730		1,2
14		0.845		1700		1,2
15		0.995		2040		1,2
16		1.1		2350		1,2
17		1.075		2320		1,2
18		1.06		2340		1,2
19		1.08		2370		1,2
20		1.1		2390		1,2
21		0.91		1830		1,3
22		0.865		1710		1,3
23		1.06		2110		1,3
24		0.85		1710		1,3
25		0.87		1710		1,3
26		0.9		1770		1,3
27		0.94		1860		1,3
28		1.07		2290		1,3
29		1.145		2330		1,3
30		1.055		2280		1,3
31		0.89		1720		1,4
32		0.845		1730		1,4
33		0.91		1860		1,4
34		1.135		2420		1,4
35		1.07		2320		1,4
36		1.075		2340		1,4
37		1.07		2330		1,4
38		1.12		2390		1,4
39		1.065		2280		1,4
40		1.07		2280		1,4
41		0.91		1880		1,5
42		0.93		1890		1,5
43		0.965		1900		1,5
44		1		1940		1,5
45		1.06		2160		1,5
46		1.06		2280		1,5
47		1.13		2370		1,5
48		1.09		2280		1,5
49		1.155		2410		1,5
50		1.13		2430		1,5
51		0.93		1830		1,6
52		0.91		1810		1,6
53		0.945		1930		1,6
54		1.025		2010		1,6
55		1.055		2290		1,6
56		1.095		2360		1,6
57		1.06		2300		1,6
58		1.14		2460		1,6
59		1.115		2390		1,6
60		1.11		2300		1,6
61		1.2		2322		1,6
62		1.1		2330		3,2
