#id  voltage(V)  frequency(Mhz) DieLocation(x,y)
1  0.9	1900                       1,1
2	0.98	1910                   1,1   
3	0.93	1830                   1,6
4	0.93	1890                   1,1
5	0.89	1720                   1,4                   
6	0.755	1530                   1,2
7	0.91	1830                   1,3
8	0.91	1810                   1,6
9	0.845	1730                   1,4
10	0.87	1750                   1,1
11	0.98	1860                   1,2
12	0.83	1670                   1,1
13	0.845	1730                   1,2
14	1.035	2070                   1,1
15	0.865	1710                   1,3
16	0.91	1880                   1,5
17	0.93	1890                   1,5
18	0.965	1900                   1,5
19	1.06	2110                   1,3
20	0.85	1710                   1,3
21	0.945	1930                   1,6
22	0.91	1860                   1,4
23	0.87	1710                   1,3
24	1	1940                       1,5
25	0.9	1770                       1,3
26	0.94	1860                   1,3
27	0.845	1700                   1,2
28	1.06	2160                   1,5
29	0.995	2040                   1,2
30	1.025	2010                   1,6
31	1.135	2400                   1,1
32	1.1	2350                       1,2
33	1.135	2420                   1,4
34	1.07	2320                   1,4
35	1.06	2280                   1,5
36	1.055	2290                   1,6
37	1.095	2360                   1,6
38	1.075	2340                   1,4
#39	1.06	2300                   1,6
40	1.075	2320                   1,2
41	1.13	2370                   1,5
42	1.06	2340                   1,2
43	1.07	2330                   1,4
44	1.09	2280                   1,5
45	1.14	2460                   1,6
46	1.08	2370                   1,2
47	1.155	2410                   1,5
48	1.115	2390                   1,1
49	1.07	2290                   1,3
50	1.135	2340                   1,1
51	1.1	2330                       3,2
52	1.145	2330                   1,3
53	1.13	2430                   1,5
54	1.115	2390                   1,6
55	1.12	2350                   1,1
56	1.12	2390                   1,4
57	1.065	2280                   1,4
58	1.055	2280                   1,3
59	1.1	2390                       1,2
60	1.07	2280                   1,4
61	1.11	2300                   1,6
62	1.2	2322                   1,6
                           
